,level_0,level_1,file name
132,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,file name,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json
133,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,run type,Stationary
134,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,date,2021-04-09
135,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,time,17:16:28
136,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,timeZone,unknown
137,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,duration(sec),1236.495
138,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,distance (km),2.831530663167819
139,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,distance (miles),1.759431577694077
140,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,avg speed (meters/second),2.289965315806226
141,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,avg speed (MPH),5.122506517768258
142,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,max speed (meters/second),2.467279346521906
143,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,max speed (MPH),5.519146707802337
144,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,calories,213
145,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,avg HR,152
146,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,max HR,163
147,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,elevation gain,0
148,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,elevation loss,0
149,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,min elevation,0
150,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,max elevation,0
151,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,avg cadence,85
152,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,max cadence,105
153,2021-04-09_12-16-28_nk_afc2c276-9bdc-49c7-b257-2c71b3f1f9fb.metadata.json,steps,3503
154,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,file name,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json
155,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,run type,Outdoors/Mobile
156,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,date,2021-04-11
157,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,time,14:52:04
158,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,timeZone,America/Chicago
159,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,duration(sec),2332.084
160,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,distance (km),5.637356888127166
161,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,distance (miles),3.5028911580302737
162,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,avg speed (meters/second),2.417304388747218
163,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,avg speed (MPH),5.40735591116492
164,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,max speed (meters/second),3.005923151352555
165,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,max speed (MPH),6.724058582211693
166,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,calories,488
167,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,avg HR,158
168,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,max HR,177
169,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,elevation gain,61
170,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,elevation loss,78
171,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,min elevation,390
172,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,max elevation,421
173,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,avg cadence,85
174,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,max cadence,789
175,2021-04-11_09-52-04_nk_050f03a9-4772-4258-a40f-733347bb08c8.metadata.json,steps,6644
176,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,file name,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json
177,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,run type,Stationary
178,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,date,2021-04-13
179,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,time,17:31:45
180,2021-04-13_12-31-45_nk_177af543-863c-40f6-9c53-a9a5d9b5e71d.metadata.json,timeZone,unknown
